YYYY,MM,DD,TMAX,TMIN,PRCP,SNOW,SNWD
2002,12,31,   10.5,    2.8,    0.0,-9999.0,-9999.0
2003,01,01,    9.6,    2.5,-9999.0,-9999.0,-9999.0
2003,01,02,-9999.0,    4.2,-9999.0,-9999.0,-9999.0
2003,01,03,    8.8,    2.3,    0.0,-9999.0,-9999.0
2003,01,04,    9.6,    5.4,    2.5,-9999.0,-9999.0
2003,01,05,    9.2,    5.4,   11.2,-9999.0,-9999.0
2003,01,06,   15.0,    6.7,-9999.0,-9999.0,-9999.0
2003,01,07,   14.2,    2.4,    0.0,-9999.0,-9999.0
2003,01,08,   14.6,    7.0,-9999.0,-9999.0,-9999.0
2003,01,09,   12.8,    6.6,    0.0,-9999.0,-9999.0
2003,01,10,   15.1,    4.0,    0.0,-9999.0,-9999.0
2003,01,11,   13.9,    5.2,    0.0,-9999.0,-9999.0
2003,01,12,   16.3,    6.6,-9999.0,-9999.0,-9999.0
2003,01,14,    4.2,-9999.0,-9999.0,-9999.0,-9999.0
2003,01,15,    1.4,   -2.4,    0.0,-9999.0,-9999.0
2003,01,16,   15.0,    0.2,    0.0,-9999.0,-9999.0
2003,01,17,-9999.0,   -2.0,    0.0,-9999.0,-9999.0
2003,01,18,    7.0,-9999.0,    0.0,-9999.0,-9999.0
2003,01,19,    4.4,   -3.6,    0.0,-9999.0,-9999.0
2003,01,20,    2.8,   -0.2,    1.0,-9999.0,   10.0
2003,01,21,    4.2,    1.5,    2.0,-9999.0,-9999.0
2003,01,22,    3.5,    1.0,    9.9,-9999.0,-9999.0
2003,01,23,    8.2,    1.8,-9999.0,-9999.0,-9999.0
2003,01,24,    8.0,    3.0,-9999.0,-9999.0,-9999.0
2003,01,25,    7.4,    3.8,-9999.0,-9999.0,-9999.0
2003,01,26,    7.4,-9999.0,    0.0,-9999.0,-9999.0
2003,01,27,    6.4,    0.0,    0.0,-9999.0,-9999.0
2003,01,28,    5.1,    0.0,    0.0,-9999.0,-9999.0
2003,01,29,   10.2,    0.2,    0.0,-9999.0,-9999.0
